Function,sup1,sup2,sup3,sup4,sup5,salary,gender,disabled,race,yearsInPosition,yearsInProfession,age,cred1,cred2,highestDegree,inst1,inst2,inst3,inst4,inst5,instBudget,City,State_x,Zip,country,Category,instSize,instType,T01,T09,T10,T11,T12,T13,T14,T15,T16,T19,T20,T21,T22,T23,T24,T25,T27,T28,T29,T40,T41,T50,T51,T53,T99,Place Name,State_y,State Abbreviation,County,Latitude,Longitude,Unnamed: 7
position3,4,0,2,141,0,60000.0,Man,False,Caucasian,0.0,8.0,31.0,False,False,Master's Degree,11,2,2,196,2,1949000.0,Towson,MD,21252,United States,one,21960.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore,39.3888,-76.6133,
position23,0,0,0,45,0,46359.0,Woman,False,Caucasian,3.0,5.0,30.0,False,False,Master's Degree,11,2,2,196,2,1949000.0,Towson,MD,21252,United States,one,21960.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore,39.3888,-76.6133,
position9,0,0,1,66,0,47509.0,Man,False,Caucasian,2.0,3.0,28.0,False,False,Master's Degree,11,2,2,196,2,1949000.0,Towson,MD,21252,United States,one,21960.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore,39.3888,-76.6133,
position20,0,0,1,35,0,46359.0,Man,False,Caucasian,0.0,4.0,28.0,False,False,Master's Degree,11,2,2,196,2,1949000.0,Towson,MD,21252,United States,one,21960.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore,39.3888,-76.6133,
position6,0,0,0,40,0,46359.0,Man,False,Caucasian,1.0,1.0,33.0,False,False,Master's Degree,11,2,2,196,2,1949000.0,Towson,MD,21252,United States,one,21960.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore,39.3888,-76.6133,
position5,0,0,0,3,0,46359.0,Woman,False,Caucasian,0.0,0.0,,False,False,Master's Degree,11,2,2,196,2,1949000.0,Towson,MD,21252,United States,one,21960.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore,39.3888,-76.6133,
position17,0,0,0,0,0,46359.0,Man,False,Caucasian,0.0,0.0,,False,False,Master's Degree,11,2,2,196,2,1949000.0,Towson,MD,21252,United States,one,21960.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore,39.3888,-76.6133,
position11,0,0,0,6,0,43725.0,Man,False,Caucasian,1.0,1.0,26.0,False,False,Master's Degree,11,2,2,196,2,1949000.0,Towson,MD,21252,United States,one,21960.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore,39.3888,-76.6133,
position21,0,0,0,25,0,43725.0,Man,False,Caucasian,0.0,1.0,25.0,False,False,Master's Degree,11,2,2,196,2,1949000.0,Towson,MD,21252,United States,one,21960.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore,39.3888,-76.6133,
position19,0,0,0,0,0,43725.0,Woman,False,Caucasian,0.0,0.0,28.0,False,False,Bachelor's Degree,11,2,2,196,2,1949000.0,Towson,MD,21252,United States,one,21960.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore,39.3888,-76.6133,
position10,0,0,0,9,0,46161.0,Woman,False,Caucasian,8.0,8.0,55.0,False,False,No College Degree,11,2,2,196,2,1949000.0,Towson,MD,21252,United States,one,21960.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore,39.3888,-76.6133,
position10,0,0,0,0,0,39191.0,Man,False,African American,1.0,1.0,54.0,False,False,Bachelor's Degree,11,2,2,196,2,1949000.0,Towson,MD,21252,United States,one,21960.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore,39.3888,-76.6133,
position25,0,0,0,0,0,25000.0,Man,False,Caucasian,10.0,10.0,45.0,False,False,Master's Degree,11,2,2,196,2,1949000.0,Towson,MD,21252,United States,one,21960.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore,39.3888,-76.6133,
